,name,formula,mw,chebi,hmdb,kegg,lipidmaps,seed,metacyc,sabiork,reactome,mnxm,bigg
10fthf,10-Formyltetrahydrofolate,C20H21N7O7,471.4245,11304;15637;19108;19109;57454;698,HMDB00972,C00234,,cpd00201,10-FORMYL-THF,1318,419151;5389850,MNXM237,10fthf_c;10fthf;M_10fthf
10fthf5glu,10-formyltetrahydrofolate-[Glu](5),C40H45N11O19,,,,,,,,,,MNXM3428,10fthf5glu_c;10fthf5glu;M_10fthf5glu
10fthf6glu,10-formyltetrahydrofolate-[Glu](6),C45H51N12O22,,,,,,,,,,MNXM3429,10fthf6glu_c;10fthf6glu;M_10fthf6glu
10fthf7glu,10-formyltetrahydrofolate-[Glu](7),C50H57N13O25,,,,,,,,,,MNXM5422,10fthf7glu_c;10fthf7glu;M_10fthf7glu
11_cis_retfa,Fatty acid 11-cis-retinol,C20H29OR2CO,,,,,,,,,,MNXM146564,11_cis_retfa_c;11_cis_retfa;M_11_cis_retfa
11docrtsl,11docrtsl c,C21H30O4,,,,,,,,,,MNXM163103,11docrtsl_c;11docrtsl;M_11docrtsl
11docrtstrn,11-Deoxycorticosterone,C21H30O3,330.4611,11314;16973;19123;39642;713;86536,HMDB00016,C03205;D07792,LMST02030087,cpd02047,11-DEOXYCORTICOSTERONE,26473;6485,193988;194037,MNXM849,11docrtstrn_c
12HPET,"12-Hydroperoxyeicosa-5,8,10,14-tetraenoate",C20H31O4,,,,,,,,,,MNXM13989,12HPET_c;12HPET;M_12HPET
12RHPET,12R-Hydroperoxyeicosatetraenoate,C20H31O4,335.4583,34145;75230,HMDB04692,C14812,LMFA03060070,cpd10509,CPD-15852,,2142790,MNXM9678,12RHPET_c
12harachd,12 hydroxy arachidonic acid,C20H31O3,,,,,,,,,,MNXM13977,12harachd_r;12harachd;M_12harachd
12ppd__R,"(R)-Propane-1,2-diol",C3H8O2,76.0944,18705;28972;352;44863,,C02912,,cpd01861,CPD-8891,,,MNXM90191,12ppd__R_c;12ppd__R;M_12ppd__R
12ppd__S,"(S)-Propane-1,2-diol",C3H8O2,76.0944,18799;29002;440;45065,HMDB06213,C02917,,cpd19024,PROPANE-1-2-DIOL,,,MNXM1255,12ppd__S_c;12ppd__S;M_12ppd__S
13_cis_oretn,13-cis-oxo-retinoic acid,C20H25O3,,,,,,,,,,MNXM146866,13_cis_oretn_c;13_cis_oretn;M_13_cis_oretn
13_cis_retn,13-cis-retinoate,C20H27O2,,,,,,,,,,MNXM58377,13_cis_retn_c;13_cis_retn;M_13_cis_retn
13_cis_retnglc,13-cis-retinoyl glucuronide,C26H35O8,,,,,,,,,,MNXM146867,13_cis_retnglc_c;13_cis_retnglc;M_13_cis_retnglc
13dampp,1 3 Diaminopropane C3H12N2,C3H12N2,,,,,,,,,,MNXM146468,13dampp_c;13dampp;M_13dampp
13dpg,3-Phospho-D-glyceroyl phosphate,C3H4O10P2,262.0076,11881;16001;1658;20189;57604,HMDB62758,C00236,,cpd00203,DPG,21215,29800,MNXM261,13dpg_c;13dpg;M_13dpg
15HPET,15-Hydroperoxyeicosatetraenoic acid,C20H31O4,335.4583,10920;15628;18594;18595;19152;36041;57446;758;90821;91271,HMDB04244;HMDB06501;HMDB62688,C05966,LMFA03060014;LMFA03060102,cpd03555,5Z8Z11Z13E-15S-15-HYDROPEROXYICOS,8308,2142718,MNXM2314,15HPET_c
17ahprgnlone,17alpha-Hydroxypregnenolone,C21H32O3,,,,,,,,,,MNXM162733,17ahprgnlone_c;17ahprgnlone;M_17ahprgnlone
17ahprgstrn,17alpha-Hydroxyprogesterone,C21H30O3,330.4611,11339;11340;17252;19173;790,HMDB00374,C01176;D08052,LMST02030161,cpd00866,17-ALPHA-HYDROXYPROGESTERONE,5421,,MNXM347,17ahprgstrn_c
18harachd,18 hydroxy arachidonic acid,C20H31O3,319.4589,63579;63590;63997,HMDB62302,,LMFA03060092,,,,352318,MNXM33752,18harachd_r
1a2425thvitd2,"1-alpha,24R,25-Trihydroxyvitamin D2",C28H44O4,,,,,,,,,,MNXM9596,1a2425thvitd2_m;1a2425thvitd2;M_1a2425thvitd2
1a2425thvitd3,"1-alpha,24R,25-Trihydroxyvitamin D3",C27H44O4,432.6359,47799,HMDB06228,C18231,LMST03020686,cpd19498,CPD-10577,,215622,MNXM4500,1a2425thvitd3_m
1a25dhvitd2,"1-alpha,25-Dihydroxyvitamin D2",C28H44O3,,,,,,,,,,MNXM9598,1a25dhvitd2_m;1a25dhvitd2;M_1a25dhvitd2
1a25dhvitd3,"1-alpha,25-Dihydroxyvitamin D3",C27H44O3,,,,,,,,,,MNXM9599,1a25dhvitd3_m;1a25dhvitd3;M_1a25dhvitd3
1glyc_cho,1 acyl phosphoglycerol,C6H13O7PRCO2,,,,,,,,,,MNXM164013,1glyc_cho_e;1glyc_cho;M_1glyc_cho
1mncam,1 Methylnicotinamide C7H9N2O,C7H9N2O,137.1586,11267;16797;18635;646,HMDB00699,C02918,,cpd01866,CPD-396,2583,549282,MNXM2172,1mncam_c;1mncam;M_1mncam
1mpyr,1-Methylpyrrolinium,C5H10N,84.1391,19069;27435;647,HMDB60253,C06178,,cpd03688,,,,MNXM1615,1mpyr_c;1mpyr;M_1mpyr
1p2cbxl,1-Pyrroline-2-carboxylate,C5H7NO2,113.1146,10540;11295;12279;16896;17425;19093;216985;23602;36761;39785;683,HMDB06875,C03564,,cpd02235;cpd26844,DELTA1-PYRROLINE_2-CARBOXYLATE,6702,,MNXM957,1p2cbxl_x
1p3h5c,L 1 Pyrroline 3 hydroxy 5 carboxylate C5H6NO3,C5H6NO3,128.1066,6151;62612,HMDB62585,C04281,,cpd02625,PYRROLINE-HYDROXY-CARBOXYLATE,,,MNXM114091,1p3h5c_c;1p3h5c;M_1p3h5c
1pipdn2c,Delta1-Piperideine-2-carboxylate,C6H9NO2,127.1412,10539;11153;12278;16187;16334;18885;18886;23601;30912;500;77631,HMDB01084;HMDB62778,C04092,,cpd00922,DELTA1-PIPERIDEINE-2-CARBOXYLATE,7071,5693311,MNXM911,1pipdn2c_x;1pipdn2c;M_1pipdn2c
1pyr5c,1-Pyrroline-5-carboxylate,C5H6NO2,112.1072,11297;11689;1372;15893;19095;19873;26458;29066,HMDB01301;HMDB02240,C04322,,cpd02431;cpd02651,,7234,,MNXM1617,1pyr5c_c;1pyr5c;M_1pyr5c
20ahchsterol,20alpha-hydroxy cholesterol,C27H46O2,402.6529,1296;43170,HMDB06283,C05500,LMST01010201,cpd03274,2-HYDROXY-CHOLESTEROL,,,MNXM3824,20ahchsterol_m
23cump,"2',3'-Cyclic UMP",C9H10N2O8P,305.1586,19215;28637;60873;826,HMDB11640,C02355,,cpd01572,CPD-3725,2407,,MNXM3150,23cump_c;23cump;M_23cump
23doguln,"2,3-Dioxo-L-gulonate",C6H7O7,191.1161,10900;15622;18578;226;57441;60793,HMDB05971;HMDB06511;HMDB62803,C04575,LMFA01060195,cpd02784,CPD-19692;CPD-334,25315,,MNXM958,23doguln_c;23doguln;M_23doguln
23dpg,2 3 Disphospho D glycerate C3H3O10P2,C3H3O10P2,261.0002,11417;17720;19306;58248;872,,C01159,,cpd00853,23-DIPHOSPHOGLYCERATE,1355,,MNXM892,23dpg_c;23dpg;M_23dpg
2425dhvitd2,"24R,25-Dihyoxyvitamin D2",C28H44O3,,,,,,,,,,MNXM6764,2425dhvitd2_c;2425dhvitd2;M_2425dhvitd2
2425dhvitd3,"24R,25-Dihydroxyvitamin D3",C27H44O3,416.6365,19806;28818;47128;9072,HMDB60508,C07712;D00628,,cpd04848,CPD-13032,9816,,MNXM6005,2425dhvitd3_c
24nph,"2,4 dihydroxy nitrophenol",C6H5NO4,,,,,,,,,,MNXM9757,24nph_c;24nph;M_24nph
25aics,(S)-2-[5-Amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamido]succinate,C13H15N4O12P,450.2538,11028;18319;18965;572;58443;78110,HMDB00797;HMDB06274,C04823,,cpd19032,P-RIBOSYL-4-SUCCCARB-AMINOIMIDAZOLE,1893,111399,MNXM607,25aics_c;25aics;M_25aics
25hvitd2,25-Hydroxyvitamin D2,C28H44O2,,,,,,,,,,MNXM4976,25hvitd2_c;25hvitd2;M_25hvitd2
25hvitd3,25-Hydroxyvitamin D3,C27H44O2,400.6371,13931;17933;19815;3304;46387,HMDB03550;HMDB05997,C01561,,cpd01099,CALCIDIOL,5664,209804;209906;350136,MNXM812,25hvitd3_c
2amac,2-Aminoacrylate,C3H5NO2,87.0773,1013;11518;17123;23590;41996;58020;76565;76608,HMDB03609;HMDB06356,C02218,,cpd01495,2-AMINOACRYLATE,,,MNXM3414,2amac_c;2amac;M_2amac
2ameph,2-Aminoethylphosphonate,C2H8NO3P,125.0636,10849;15573;172;19469;19470;57418,HMDB11747,C03557,,cpd02233,CPD-1106,,,MNXM1692,2ameph_c;2ameph;M_2ameph
2aobut,L-2-Amino-3-oxobutanoate,C4H7NO3,117.1033,13048;16944;21195;35229;40668;40673;6156;78948,HMDB06454,C03508,LMFA01060172,cpd02211,AMINO-OXOBUT,6672,6798652,MNXM114087,2aobut_c;2aobut;M_2aobut
2c23dh56dhoxin,"2-Carboxy-2,3-dihydro-5,6-dihydroxyindole",C9H8NO4,194.1647,60872,HMDB04067;HMDB06340,C05604,,cpd03330,CPD-8652,,5672007,MNXM2390,2c23dh56dhoxin_c
2coum,Cis-2-Hydroxy cinnamate,C9H7O3,163.1506,10469;23284;23399;23401;28873;47921,HMDB41592;HMDB62655,C05838,,cpd03468,CPD-7418,,,MNXM3237,2coum_c;2coum;M_2coum
2dp6mep,2-Decaprenyl-6-methoxyphenol,C57H88O2,,,,,,,,,,MNXM91882,2dp6mep_m;2dp6mep;M_2dp6mep
2dp6mobq,"2-Decaprenyl-6-methoxy-1,4-benzoquinone",C57H86O3,,,,,,,,,,MNXM9806,2dp6mobq_m;2dp6mobq;M_2dp6mobq
2dp6mobq_me,"2-Decaprenyl-3-methyl-6-methoxy-1,4-benzoquinone",C58H88O3,,,,,,,,,,MNXM9803,2dp6mobq_me_m;2dp6mobq_me;M_2dp6mobq_me
2dpmhobq,"2-Decaprenyl-3-methyl-5-hydroxy-6-methoxy-1,4-benzoquinone",C58H88O4,,,,,,,,,,MNXM9802,2dpmhobq_m;2dpmhobq;M_2dpmhobq
2dr1p,2-Deoxy-D-ribose 1-phosphate,C5H9O7P,212.0956,1081;19558;28542;58576,HMDB01351,C00672,,cpd00509;cpd26845,,1345,112032,MNXM1063,2dr1p_c;2dr1p;M_2dr1p
2dr5p,2-Deoxy-D-ribose 5-phosphate,C5H9O7P,212.0956,1082;11566;16132;19559;42055;57651,,C00673,,,DEOXY-RIBOSE-5P,1346,6787328,MNXM2179,2dr5p_c;2dr5p;M_2dr5p
2hb,2 Hydroxybutyrate C4H7O3,C4H7O3,103.0971,1148;64552;675746,HMDB00008,,LMFA01050004,cpd03561,,2835,,MNXM4968,2hb_c;2hb;2hbut;M_2hb;M_2hbut
2hog,2-Hydroxyglutarate,C5H6O5,146.0992,11596;1160;132941;17084;36149,HMDB59655,C02630,LMFA01050483,cpd01709;cpd21873,2-HYDROXYGLUTARIC_ACID,2471,,MNXM1210,2hog_m;2hog;M_2hog
2hyoxplac,2-Hydroxyphenylacetate,C8H7O3,151.1399,1169;19655;28478;62423,HMDB00669,C05852,,cpd03480,CPD-11495,8207,,MNXM2160,2hyoxplac_c;2hyoxplac;M_2hyoxplac
2kmb,2-keto-4-methylthiobutyrate,C5H7O3S,147.173,12029;16723;1902;20451;22458;33574;43720;63388,HMDB01553;HMDB13210,C01180,LMFA01060170,cpd00869,CPD-479,5424,1237122,MNXM276,2kmb_c;2kmb;4met2obut;M_2kmb;M_4met2obut
2maacoa,2-Methyl-3-acetoacetyl-CoA,C26H38N7O18P3S,861.605,11613;1195;15476;19687;57335,HMDB01157,C03344,LMFA07050189,cpd02124,2-METHYL-ACETO-ACETYL-COA,6566,70836,MNXM524,2maacoa_m;2maacoa;M_2maacoa
2mb2coa,Trans-2-Methylbut-2-enoyl-CoA,C26H38N7O17P3S,845.605,10949;11614;11619;1199;1204;15478;19691;19697;57260;57337,HMDB00993;HMDB02054;HMDB02371;HMDB06871;HMDB62753,C03345,LMFA07050191;LMFA07050374,cpd02125;cpd29594,CPD-1083,6567,70799,MNXM609,2mb2coa_m;2mb2coa;M_2mb2coa
2mbcoa,2-Methylbutanoyl-CoA,C26H40N7O17P3S,847.6210000000001,11616;1201;15477;19693;57336,HMDB01041;HMDB02021;HMDB02191;HMDB02253,C01033,LMFA07050190,cpd00760,2-METHYL-BUTYRYL-COA,2221,70718,MNXM569,2mbcoa_m;2mbcoa;M_2mbcoa
2mcacn,Cis-2-Methylaconitate,C7H5O6,185.1126,11084;16717;18819;456;57872,HMDB06357,C04225,,cpd02597,CPD-1136,7166,,MNXM1792,2mcacn_c;2mcacn;M_2mcacn
2mcit,2-Methylcitrate,C7H7O7,203.1279,10860;11592;11618;1203;15598;19630;19695;19696;30835;30836,HMDB00379;HMDB03610,C02225,LMFA01050442,cpd01501;cpd24620,,2387,,MNXM1030,2mcit_c;2mcit;M_2mcit
2mop,2-Methyl-3-oxopropanoate,C4H5O3,101.0812,11609;11610;1193;16256;19682;57700,HMDB01172,C00349,LMFA01060193,cpd00287;cpd23282,CPD-12179,2027,30004,MNXM305,2mop_m;2mop;M_2mop
2mp2coa,2-Methylprop-2-enoyl-CoA,C25H36N7O17P3S,831.579,1208;19706;27754;62500,HMDB01011,C03460,LMFA07050350,cpd02187,METHACRYLYL-COA,6641,70858,MNXM947,2mp2coa_m;2mp2coa;M_2mp2coa
2mpdhl,S-(2-Methylpropanoyl)-dihydrolipoamide,C12H23NO2S2,277.447,12733;17577;22013;8930,HMDB06868,C04424,LMFA08010022,cpd02700,CPD-281,7303,,MNXM7749,2mpdhl_m;2mpdhl;M_2mpdhl
