BIOMASS	Biomass	BIOMASS			0	seed:cpd11416
MNXM01	H(+)	M_h_c;M_h_e;M_h_f;M_h_g;M_h_h;M_h_im;M_h_l;M_h_m;M_h_n;M_h_p;M_h_r;M_h_s;M_h_u;M_h_v;M_h_x	H	1.00794	1	
MNXM1	H(+)	M_h_c;M_h_e;M_h_g;M_h_m;M_h_n;M_h_r;M_h_v;M_h_x	H	1.00739	1	chebi:10744;chebi:13357;chebi:15378;chebi:5584;bigg:M_h;bigg:h;deprecated:MNXM145872;deprecated:MNXM89553;hmdb:HMDB59597;kegg:C00080;metacyc:PROTON;reactome:1132304;reactome:113529;reactome:1470067;reactome:156540;reactome:163953;reactome:193465;reactome:194688;reactome:2000349;reactome:2872447;reactome:351626;reactome:372511;reactome:374900;reactome:425969;reactome:425978;reactome:425999;reactome:427899;reactome:428040;reactome:428548;reactome:5668577;reactome:70106;reactome:74722;sabiork:39;seed:cpd00067
MNXM10	NADH	M_nadh_c;M_nadh_m;M_nadh_x	C21H27N7O14P2	663.4262	-2	chebi:13395;chebi:13396;chebi:16908;chebi:21902;chebi:44216;chebi:57945;chebi:7423;bigg:M_nadh;bigg:nadh;deprecated:MNXM89564;hmdb:HMDB01487;kegg:C00004;metacyc:NADH;reactome:192305;reactome:194697;reactome:29362;reactome:73473;sabiork:38;seed:cpd00004
MNXM100	(2E)-geranyl diphosphate	M_grdp_c	C10H17O7P2	311.1869	-3	chebi:14299;chebi:17211;chebi:24223;chebi:42877;chebi:5332;chebi:58057;bigg:M_grdp;bigg:grdp;deprecated:MNXM525850;deprecated:MNXM89875;deprecated:MNXM89953;hmdb:HMDB01285;hmdb:HMDB01560;hmdb:HMDB02239;hmdb:HMDB06506;kegg:C00341;lipidmaps:LMPR0102010001;metacyc:GERANYL-PP;reactome:191409;sabiork:5050;seed:cpd00283
MNXM1001	prostaglandin F2alpha	M_prostgf2_c;M_prostgf2_e	C20H33O5	353.4736	-1	chebi:10913;chebi:15553;chebi:26327;chebi:57404;chebi:8516;kegg:C00639;kegg:D00081;lipidmaps:LMFA03010002;metacyc:5Z13E-15S-9-ALPHA11-ALPHA15-TRIHY;reactome:879535;sabiork:22943;sabiork:5165;seed:cpd00488;slm:000000437
MNXM10053	Mercplaccys	M_mercplaccys_c;M_mercplaccys_e	C6H10O5S2N		-1	bigg:M_mercplaccys;bigg:mercplaccys
MNXM10073	3-O-methyldopa zwitterion	M_CE2176_c	C10H13NO4	211.2145	0	chebi:133668;chebi:82913;bigg:CE2176;bigg:M_CE2176;hmdb:HMDB60747;metacyc:CPD-11496;seed:cpd22970
MNXM101192	a phosphatidylglycerol	M_pglyc_cho_c;M_pglyc_cho_e	C8H12O10PR2		-1	chebi:14804;chebi:17517;chebi:26032;chebi:26033;chebi:60523;chebi:64716;chebi:64961;chebi:8130;bigg:M_pglyc_cho;bigg:pglyc_cho;kegg:C00344;lipidmaps:LMGP04010000;sabiork:5051;seed:cpd11652;slm:000000240;slm:000055215
MNXM1013	3,3',5-triiodo-L-thyronine	M_triodthy_c;M_triodthy_e	C15H12I3NO4	650.9735	0	chebi:11701;chebi:11702;chebi:13059;chebi:18258;chebi:19894;chebi:45840;chebi:533015;chebi:60308;chebi:9722;hmdb:HMDB00265;hmdb:HMDB06780;kegg:C02465;kegg:D08128;metacyc:LIOTHYRONINE;sabiork:6221;seed:cpd01621
MNXM10135	4hdebrisoquine	M_4hdebrisoquine_c;M_4hdebrisoquine_e	C10H14N3O		1	bigg:4hdebrisoquine;bigg:M_4hdebrisoquine
MNXM10136	4mtolbutamide	M_4mtolbutamide_c;M_4mtolbutamide_e	C12H18N2O4S		0	bigg:4mtolbutamide;bigg:M_4mtolbutamide
MNXM1014	3-cyano-L-alanine	M_HC00955_e	C4H6N2O2	114.1026	0	chebi:11772;chebi:11773;chebi:13061;chebi:1477;chebi:16934;chebi:19989;chebi:57954;chebi:77860;bigg:HC00955;bigg:M_HC00955;hmdb:HMDB60245;kegg:C02512;metacyc:CPD-603;sabiork:2431;seed:cpd01651
MNXM1015	3-ureidoisobutyrate	M_3uib_c	C5H9N2O3	145.1371	-1	chebi:1670;chebi:74414;bigg:3uib;bigg:M_3uib;deprecated:MNXM722406;hmdb:HMDB02031;kegg:C05100;sabiork:2926;seed:cpd03034
MNXM102	a 1,2-diacyl-sn-glycero-3-phospho-(1D-myo-inositol 3-phosphate)	M_pail3p_cho_c;M_pail3p_cho_g;M_pail3p_cho_n;M_pail3p_cho_r	C11H15O16P2R2		-3	chebi:11281;chebi:11287;chebi:17283;chebi:19084;chebi:58088;chebi:674;chebi:8133;bigg:M_pail3p_cho;bigg:pail3p_cho;deprecated:MNXM114066;deprecated:MNXM32986;deprecated:MNXM5104;deprecated:MNXM90588;hmdb:HMDB03850;kegg:C04549;metacyc:CPD-177;reactome:1806159;reactome:1806198;reactome:1806200;reactome:1806276;reactome:5676030;reactome:6798180;sabiork:7392;seed:cpd12572;slm:000000344
MNXM10226	4nphsf	M_4nphsf_c;M_4nphsf_e	C6H4NO6S		-1	bigg:4nphsf;bigg:M_4nphsf
MNXM1024	(R)-lipoamide	M_lpam_m	C8H15NOS2	205.341	0	chebi:14518;chebi:17460;chebi:25055;chebi:6491;chebi:83094;bigg:M_lpam;bigg:lpam;hmdb:HMDB00962;hmdb:HMDB06877;hmdb:HMDB06950;kegg:C00248;kegg:D00048;lipidmaps:LMFA08010006;metacyc:LIPOAMIDE;sabiork:1320;seed:cpd00213
MNXM10267	5homeprazole	M_5homeprazole_c;M_5homeprazole_e	C17H19N3O4S		0	bigg:5homeprazole;bigg:M_5homeprazole
