compound	SMILES
CE5796	CSCC[C@@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H](Cc1c[nH]cn1)NC(=O)CNC(=O)[C@H](NC(=O)[C@@H](C)NC(=O)[C@H](N)Cc1c[nH]c2ccccc12)[C@@H](C)O)C(=N)O
glc1man	OC[C@H]1O[C@H](O[C@@H]2[C@H](O)[C@H](O)O[C@H](CO)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O
C03577	N[C@@H](CS[C@H](/C=C/C=C/C=C\C/C=C\CCCCCO)[C@@H](O)CCCC(=O)O)C(=O)O
leuktrA4	CCCCC/C=C\C/C=C\C=C\C=C\[C@@H]1O[C@H]1CCCC(=O)O
hom__L	N[C@@H](CCO)C(=O)O
6pgc	O=C([O-])[C@H](O)[C@@H](O)[C@H](O)[C@H](O)COP(=O)(O)O
atp	Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]1O
octa	CCCCCCCC(=O)[O-]
lac__L	C[C@H](O)C(=O)[O-]
25aics	Nc1c(C(=O)N[C@@H](CC(=O)O)C(=O)O)ncn1[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]1O
hxdcal	CCCCCCCCCCCCCCCC=O
acgam	CC(=O)N[C@H]1C(O)O[C@H](CO)[C@@H](O)[C@@H]1O
CE4980	CCCCC[C@H](O)/C=C/[C@@H]1[C@@H](O)CC(=O)[C@H]1C/C=C\CCCC(=O)OC(CO)CO
CE6187	CC(C)(COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O)C(O)C(=O)NCCC(=O)NCCSC(=O)CC(O)CCC=CCC(O)C=CC=CC=CC(O)CCCC(=O)O
3dpdhb_me	COc1cc(C(=O)O)cc(C/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CCC=C(C)C)c1O
CE2847	O=C(O)CNCC(=O)[C@@H](O)[C@H](O)[C@H](O)CO
CE4633	OCl
udpglcur	O=C(O)[C@H]1O[C@H](OP(=O)(O)OP(=O)(O)OC[C@H]2O[C@@H](n3ccc(=O)[nH]c3=O)[C@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O
dttOX	O[C@@H]1CSSC[C@H]1O
56dthm	CC1CNC(=O)NC1=O
C08261	O=C(O)CCCCCCCC(=O)O
HC00460	O=C(O)c1cc(O)ccc1O
pac	O=C([O-])Cc1ccccc1
cpppg3	Cc1c2[nH]c(c1CCC(=O)O)Cc1[nH]c(c(CCC(=O)O)c1C)Cc1[nH]c(c(CCC(=O)O)c1C)Cc1[nH]c(c(C)c1CCC(=O)O)C2
dcamp	O=C(O)CC(Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]1O)C(=O)O
mev__R	C[C@@](O)(CCO)CC(=O)O
minohp	O=P(O)(O)O[C@H]1[C@H](OP(=O)(O)O)[C@@H](OP(=O)(O)O)[C@H](OP(=O)(O)O)[C@@H](OP(=O)(O)O)[C@H]1OP(=O)(O)O
12ppd__S	C[C@H](O)CO
CE5249	C[C@]12CC[C@H]3C4=C(CC[C@@H]3[C@H]1CC[C@@H]2O)C(=O)C(=O)C=C4
nmn	NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]2O)c1
CE5276	NCCC1=CC(=O)C(=O)C=C1
HC00576	NCCCC(=O)NC(Cc1c[nH]cn1)C(=O)O
quln	O=C(O)c1cccnc1C(=O)O
3hxkynam	NCCC(=O)c1cccc(O)c1N
co	[C-]#[O+]
core4	*O[C@H]1O[C@H](CO[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2NC(C)=O)[C@H](O)[C@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2NC(C)=O)[C@H]1NC(C)=O
ppmi12346p	O=P(O)(O)O[C@H]1[C@@H](OP(=O)(O)O)[C@@H](OP(=O)(O)O)[C@H](OP(=O)(O)O)[C@@H](OP(=O)(O)OP(=O)(O)O)[C@@H]1OP(=O)(O)O
glcur1p	O=C([O-])[C@H]1OC(OP(=O)(O)O)[C@H](O)[C@@H](O)[C@@H]1O
aicar	NC(=O)c1ncn([C@@H]2O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]2O)c1N
56dura	O=C1CCNC(=O)N1
12RHPET	CCCCC/C=C\C[C@H](/C=C/C=C\C/C=C\CCCC(=O)O)OO
ch4s	CS
CE1294	C[C@@H](CO)CCC[C@@H](C)[C@H]1CC[C@@H]2C3=C(CC[C@@]21C)[C@@]1(C)CC[C@H](O)CC1=CC3
sel	O=[Se](=O)([O-])[O-]
duri	O=c1ccn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)[nH]1
