EC	group_id	SMILES
2.4.99.3	475	O[C@H](CS)[C@@H](O)CS
2.4.99.3	57	CC(C)(C)CC(C)(C)c1ccc(OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)cc1
2.4.99.3	56	Nc1ccn([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]2O)c(=O)n1
2.4.99.3	188	Nc1ccn([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]2O)c(=O)n1
2.4.99.3	94	Nc1ccn([C@@H]2O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]2O)c(=O)n1
2.4.99.3	40	O=C(O)c1ccc([Hg]Cl)cc1
2.4.99.4	56	Nc1ccn([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]2O)c(=O)n1
2.4.99.4	1730	O=C(O)CC(O)(CC(=O)O)C(=O)O.[Na+]
2.4.99.4	188	Nc1ccn([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]2O)c(=O)n1
2.4.99.4	94	Nc1ccn([C@@H]2O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]2O)c(=O)n1
2.4.99.4	115558	NC(COP(=O)(O)OCC(O)CO)C(=O)O
2.4.99.4	7208	CCCCC(=O)OC[C@H](O)COP(=O)(O)OC[C@H](O)CO
2.4.1.38	30394	*N[C@@H](CCC(=O)O)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CCC(=O)O)C(*)=O
2.4.1.38	123733	Cc1cc(=O)oc2cc(O[C@@H]3OC[C@@H](F)[C@H](O)[C@H]3O)ccc12
2.4.1.38	223	O=C(O)CN(CCN(CC(=O)O)CC(=O)O)CC(=O)O
2.4.1.38	41492	CCCC(=O)N[C@H]1[C@H](Oc2ccc3ccccc3c2)O[C@H](CO)[C@@H](O)[C@@H]1O
2.4.1.38	1174	CC(=O)n1ccnc1
2.4.1.38	96542	CC(=O)NC1C(OC2C(OC(C)=O)C(COC(C)=O)OC(OCc3ccc4ccccc4c3)C2OC(C)=O)OC(COC(C)=O)C(F)C1OC(C)=O
2.4.1.38	96537	CC(=O)NC1C(OC2C(OC(C)=O)C(COC(C)=O)OC(OCc3ccc4ccccc4c3)C2OC(C)=O)OC(COC(C)=O)C(OC(C)=O)C1F
2.4.1.38	96538	CC(=O)NC1CC(OC(C)=O)C(COC(C)=O)OC1OC1C(OC(C)=O)C(COC(C)=O)OC(OCc2ccc3ccccc3c2)C1OC(C)=O
2.4.1.38	123729	Cc1cc(=O)oc2cc(O[C@@H]3OCC[C@H](O)[C@H]3O)ccc12
2.4.1.38	24	O=c1ccn([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]2O)c(=O)[nH]1
2.4.1.38	96543	CC(=O)NC1C(OC(C)=O)CC(COC(C)=O)OC1OC1C(OC(C)=O)C(COC(C)=O)OC(OCc2ccc3ccccc3c2)C1OC(C)=O
2.4.1.38	41490	CC(=O)N[C@H]1[C@H](Oc2ccc3ccccc3c2)O[C@H](CO)[C@@H](O)[C@@H]1O
2.4.1.38	122879	CC(NCc1ccc(-c2cn([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)c(=O)[nH]c2=O)s1)c1c[nH]c2ccccc12
2.4.1.38	127	O=c1ccn([C@@H]2O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]2O)c(=O)[nH]1
2.4.1.38	257	CC(=O)N[C@H]1C(O)O[C@H](CO)[C@@H](O)[C@@H]1O
2.4.1.38	550	CCCCC(=O)OC[C@@H](COP(=O)(O)OC[C@H](O)CO)OC(=O)CCCC
2.4.1.38	408	CCCCC(=O)OC[C@@H](COP(=O)(O)O)OC(=O)CCCC
2.4.1.38	61	O=c1ccn([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]2O)c(=O)[nH]1
2.4.1.38	122878	O=c1[nH]c(=O)n([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)cc1-c1cccc2[nH]ccc12
2.4.1.38	41496	Cc1ccc2ccc(COC(=O)COCCOCC(=O)NC[C@H]3O[C@H](OP(=O)(O)OP(=O)(O)OC[C@H]4O[C@@H](n5ccc(=O)[nH]c5=O)[C@H](O)[C@@H]4O)[C@H](O)[C@@H](O)[C@H]3O)cc2c1
2.4.1.38	131793	O=Cc1ccc(-c2cn([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)c(=O)[nH]c2=O)s1
2.4.1.38	96539	COC1C(COC(C)=O)OC(OC2C(OC(C)=O)C(COC(C)=O)OC(OCc3ccc4ccccc4c3)C2OC(C)=O)C(NC(C)=O)C1OC(C)=O
2.4.1.38	26865	CC(=O)N[C@H]1[C@H](O[C@H]2[C@@H](O)[C@@H](CO)O[C@@H](OCc3cccc4ccccc34)[C@@H]2O)O[C@H](CO)[C@@H](O)[C@@H]1O
2.4.1.38	358	CCCCC(=O)OC[C@@H](COP(=O)(O)OC[C@H](N)C(=O)O)OC(=O)CCCC
2.4.1.38	96541	CC(=O)NC1C(OC2C(OC(C)=O)C(COC(C)=O)OC(OCc3ccc4ccccc4c3)C2OC(C)=O)OC(COC(C)=O)C(N=[N+]=[N-])C1OC(C)=O
2.4.1.38	96536	COC1C(NC(C)=O)C(OC2C(OC(C)=O)C(COC(C)=O)OC(OCc3ccc4ccccc4c3)C2OC(C)=O)OC(COC(C)=O)C1OC(C)=O
2.4.1.38	41494	CCCC(=O)N[C@H]1[C@H](Oc2ccc3ccccc3c2)O[C@H](CS)[C@@H](O)[C@@H]1O
2.4.1.38	449	Cc1cn([C@H]2C[C@H](O)[C@@H](COP(=O)(O)OP(=O)(O)O)O2)c(=O)[nH]c1=O
2.4.1.38	427	CCCCC(=O)OC[C@@H](COP(=O)(O)OCCN)OC(=O)CCCC
2.4.1.38	92	O=C(O)c1ccc([Hg]O)cc1
2.4.1.38	41495	O=c1ccn([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)O[C@H]3O[C@H](COCCOCCOCCOCc4ccc5ccccc5c4)[C@H](O)[C@H](O)[C@H]3O)[C@@H](O)[C@H]2O)c(=O)[nH]1
2.4.1.38	96540	CC(=O)NC1C(OC2C(OC(C)=O)C(COC(C)=O)OC(OCc3ccc4ccccc4c3)C2OC(C)=O)OC(COC(C)=O)C(N)C1OC(C)=O
