Search compound,Matched compounds
bgly,"1069,1470,40,57,92"
42A3HP24DB,"1069,1470,40,57,92"
uri,"127,24,32982,61,62883,8299"
glcur1p,"191,257"
idp,"206,49"
phe__L,"1069,1470,40,57,92"
CE4847,4820
4hoxpacd,"1069,1470,40,57,92"
CE4846,4820
3hbcoa,4820
adsel,4820
3oddcoa,4820
CE2872,"1069,1470,40,57,92"
amp,4820
CE4840,4820
CE6244,"15546,17436,17526,2589,38591,49989"
C01747,"5683,7547"
3amp,4820
glyphe,"1069,1470,40,57,92"
pmtcoa,4820
HC02214,"15546,17436,17526,2589,38591,49989"
mmcoa__S,4820
citmcoa__L,4820
ivcoa,4820
man1p,"191,257"
oagd3_cho,15399
hdd2coa,4820
phyt2ohcoa,4820
duri,"1330,449"
CE4853,4820
CE2248,4820
f5hoxkyn,"1069,1470,40,57,92"
CE2247,4820
5mta,4820
dcamp,4820
udpgal,"120,123,303,60,63608"
3dpdhb_me,"1069,1470,40,57,92"
34dhoxpeg,"1069,1470,40,57,92"
mescoa,4820
2coum,"1069,1470,40,57,92"
utp,"127,24,32982,61,62883,8299"
pheacgln,"1069,1470,40,57,92"
succoa,4820
CE4845,4820
C02744,"5683,7547"
uacgam,"120,123,303,60,63608"
amet,4820
ddcacoa,4820
tyr__L,"1069,1470,40,57,92"
occoa,4820
CE5153,4820
chito2pdol,846
dolmanp,"191,257"
4hbz,"1069,1470,40,57,92"
CE1957,"1069,1470,40,57,92"
Lkynr,"1069,1470,40,57,92"
34hpp,"1069,1470,40,57,92"
ctp,"188,314,56,94"
CE2249,4820
dopasf,"1069,1470,40,57,92"
tdechola,369
4nph,"1069,1470,40,57,92"
CE5151,4820
3hpcoa,4820
ahcys,4820
mmcoa__R,4820
gdpmann,"74288,841"
seasmet,4820
cdpea,"188,314,56,94"
gam6p,"191,257"
CE4842,4820
dttp,"1330,449"
Lfmkynr,"1069,1470,40,57,92"
CE5026,"1069,1470,40,57,92"
gal1p,"5683,7547"
CE4835,4820
CE4819,4820
4hphac,"1069,1470,40,57,92"
3htdcoa,4820
34dhpac,"1069,1470,40,57,92"
cmpntm2amep,"188,314,56,94"
CE4844,4820
udpxyl,"120,123,303,60,63608"
34hpl,"1069,1470,40,57,92"
3ump,"127,24,32982,61,62883,8299"
ametam,4820
tym,"1069,1470,40,57,92"
CE0955,"15546,17436,17526,2589,38591,49989"
34dhphe,"1069,1470,40,57,92"
adpman,"493,73976"
udpglcur,"120,123,303,60,63608"
CE4851,4820
lnlccoa,4820
HC01444,"5683,7547"
CE4816,4820
HC01672,4820
CE4852,4820
cmp2amep,"188,314,56,94"
gdptp,"206,49"
dtmp,"1330,449"
cytd,"188,314,56,94"
HC01104,"1069,1470,40,57,92"
CE4849,4820
q10h2,"1069,1470,40,57,92"
CE4754,"1069,1470,40,57,92"
glutcoa,4820
fuc1p__L,"191,257"
gluside_cho,"191,257"
gsn,"206,49"
digalside_cho,846
acgam,"191,257"
malt,846
HC02180,73999
itaccoa,4820
CE4834,4820
C02442,"1069,1470,40,57,92"
normete__L,"1069,1470,40,57,92"
3mb2coa,4820
ump,"127,24,32982,61,62883,8299"
chtn,"5683,7547"
acgam1p,"5683,7547"
cdpdag_cho,"188,314,56,94"
sebcoa,4820
3hbcoa__R,4820
3ohodcoa,4820
CE2303,"5683,7547"
hmgcoa,4820
prostgf2,"15546,17436,17526,2589,38591,49989"
3ohxccoa,4820
dutp,"1330,449"
2mbcoa,4820
dtdp,"1330,449"
pacald,"1069,1470,40,57,92"
thymd,"1330,449"
udpacgal,"120,123,303,60,63608"
arachdcoa,4820
CE5860,"1069,1470,40,57,92"
CE4848,4820
tdcoa,4820
CE2306,"5683,7547"
dump,"1330,449"
CE5346,4820
acnamp,73999
2mp2coa,4820
3hdcoa,4820
CE4810,"5683,7547"
acgal,"191,257"
CE4824,4820
eicostetcoa,4820
dcacoa,4820
HC00822,846
nrpphr,"1069,1470,40,57,92"
3hddcoa,4820
CE4818,4820
hLkynr,"1069,1470,40,57,92"
HC01522,"1069,1470,40,57,92"
CE4831,4820
5hoxnfkyn,"1069,1470,40,57,92"
HC01668,4820
ppcoa,4820
HC02216,"15546,17436,17526,2589,38591,49989"
btcoa,4820
34dhcinm,"1069,1470,40,57,92"
CE4830,4820
3mox4hpac,"1069,1470,40,57,92"
digalsgalside_cho,846
2hyoxplac,"1069,1470,40,57,92"
dc2coa,4820
adpglc,"493,73976"
CE5126,4820
pheacgly,"1069,1470,40,57,92"
malttr,846
C03693,"5683,7547"
CE4817,4820
3hanthrn,"1069,1470,40,57,92"
adp,4820
ibcoa,4820
aps,4820
nformanth,"1069,1470,40,57,92"
gdp,"206,49"
dopa,"1069,1470,40,57,92"
5hxkyn,"1069,1470,40,57,92"
adrnl,"1069,1470,40,57,92"
adn,4820
mn,846
g1p,"191,257"
CE4811,4820
fna5moxam,"1069,1470,40,57,92"
34dhmald,"1069,1470,40,57,92"
3m4hpga,"1069,1470,40,57,92"
Tn_antigen,"5683,7547"
CE5337,4820
forcoa,4820
3otdcoa,4820
CE2304,"5683,7547"
orot5p,"127,24,32982,61,62883,8299"
3moxtyr,"1069,1470,40,57,92"
CE2305,"5683,7547"
gmp,"206,49"
tethex3coa,4820
