Search compound,Closest compounds,Cumulative similarity
CE3086,"41490,41492,41494",18.311052401349713
bdg2hc,"41490,41492,41494",18.311052401349713
CE3092,"41490,41492,41494",18.311052401349713
npthl,"1069,1470,40,57,92",17.044260240328015
CE1102,"1069,1470,40,57,92",17.044260240328015
CE2866,"1069,1470,40,57,92",14.304577700645474
CE2875,"1069,1470,40,57,92",14.304577700645474
CE2754,"1069,1470,40,57,92",14.304577700645474
triodthy,"1069,1470,40,57,92",14.304577700645474
thyox__L,"1069,1470,40,57,92",14.304577700645474
CE2858,"1069,1470,40,57,92",14.304577700645474
CE2874,"1069,1470,40,57,92",14.304577700645474
npthld,"1069,1470,40,57,92",14.304577700645474
CE2876,"41490,41492,41494",13.518703797062928
coumarin,"123729,123733",12.228405336493573
CE2947,"41490,41492,41494",12.013584651782327
trypta,"1069,1470,40,57,92",11.705046750634988
indpyr,"1069,1470,40,57,92",11.705046750634988
CE2122,"1069,1470,40,57,92",11.705046750634988
id3acald,"1069,1470,40,57,92",11.705046750634988
ind3ac,"1069,1470,40,57,92",11.705046750634988
trp__L,"1069,1470,40,57,92",11.705046750634988
CE5797,"1069,1470,40,57,92",11.678405336493572
CE5798,"1069,1470,40,57,92",11.678405336493572
6hoxmelatn,"1069,1470,40,57,92",11.58578669483401
5hoxindact,"1069,1470,40,57,92",11.58578669483401
CE6205,"1069,1470,40,57,92",11.58578669483401
56dihindlcrbxlt,"1069,1470,40,57,92",11.58578669483401
5hoxindoa,"1069,1470,40,57,92",11.58578669483401
Nacsertn,"1069,1470,40,57,92",11.58578669483401
5htrp,"1069,1470,40,57,92",11.58578669483401
melatn,"1069,1470,40,57,92",11.58578669483401
srtn,"1069,1470,40,57,92",11.58578669483401
CE1918,"1069,1470,40,57,92",11.58578669483401
nmthsrtn,"1069,1470,40,57,92",11.58578669483401
CE5853,"118855,123305",11.555251318448992
46dhoxquin,"1069,1470,40,57,92",11.478405336493573
kynate,"1069,1470,40,57,92",11.478405336493573
CE5842,"1069,1470,40,57,92",11.478405336493573
CE5971,"1069,1470,40,57,92",11.478405336493573
CE5626,"1069,1470,40,57,92",11.478405336493573
bvite,"1069,1470,40,57,92",11.478405336493573
2c23dh56dhoxin,"1069,1470,40,57,92",11.478405336493573
CE5541,"1069,1470,40,57,92",11.478405336493573
CE5542,"1069,1470,40,57,92",11.478405336493573
CE5627,"1069,1470,40,57,92",11.478405336493573
CE5278,"1069,1470,40,57,92",11.478405336493573
nifedipine,"1069,1470,40,57,92",11.478405336493573
avite1,"1069,1470,40,57,92",11.478405336493573
CE5545,"1069,1470,40,57,92",11.478405336493573
C02470,"1069,1470,40,57,92",11.478405336493573
CE6317,"1069,1470,40,57,92",11.478405336493573
CE1925,"1069,1470,40,57,92",11.478405336493573
CE5843,"1069,1470,40,57,92",11.478405336493573
C09640,"1069,1470,40,57,92",11.478405336493573
phllqne,"1069,1470,40,57,92",11.478405336493573
CE7145,"1069,1470,40,57,92",11.478405336493573
CE2174,"1069,1470,40,57,92",11.478405336493573
dhnpthld,"1069,1470,40,57,92",11.478405336493573
CE2173,"1069,1470,40,57,92",11.478405336493573
debrisoquine,"1069,1470,40,57,92",11.478405336493573
C09642,"1069,1470,40,57,92",11.478405336493573
gtocophe,"1069,1470,40,57,92",11.478405336493573
CE5665,"1069,1470,40,57,92",11.478405336493573
CE5277,"1069,1470,40,57,92",11.478405336493573
CE2196,"1069,1470,40,57,92",11.478405336493573
CE7144,"1069,1470,40,57,92",11.478405336493573
48dhoxquin,"1069,1470,40,57,92",11.478405336493573
CE5629,"1069,1470,40,57,92",11.478405336493573
CE4890,"1069,1470,40,57,92",11.478405336493573
sucr,"5683,7547",10.5248257195348
l2xser,846,10.463992367281842
acglcgalgluside_cho,846,10.463992367281842
thcrm_cho,846,10.240655949906923
maltttr,846,10.240655949906923
ga2_cho,846,10.240655949906923
phaccoa,4820,9.591140597448646
coucoa,4820,9.591140597448646
